,date,title,artist,weeks,uri,af
0,1952-11-14,HERE IN MY HEART,AL MARTINO,9,spotify:track:5bETzPVHt11c82M57szEJV,"{'danceability': 0.21, 'energy': 0.271, 'key': 1, 'loudness': -9.598, 'mode': 1, 'speechiness': 0.033, 'acousticness': 0.672, 'instrumentalness': 0.341, 'liveness': 0.339, 'valence': 0.228, 'tempo': 61.278, 'type': 'audio_features', 'id': '5bETzPVHt11c82M57szEJV', 'uri': 'spotify:track:5bETzPVHt11c82M57szEJV', 'track_href': 'https://api.spotify.com/v1/tracks/5bETzPVHt11c82M57szEJV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5bETzPVHt11c82M57szEJV', 'duration_ms': 182560, 'time_signature': 4}"
0,1953-01-16,YOU BELONG TO ME,JO STAFFORD,1,spotify:track:0zfrTt4Vc6zZ0UHZ8TCLgT,"{'danceability': 0.653, 'energy': 0.486, 'key': 0, 'loudness': -12.014, 'mode': 1, 'speechiness': 0.0327, 'acousticness': 0.021, 'instrumentalness': 0.00086, 'liveness': 0.177, 'valence': 0.764, 'tempo': 124.094, 'type': 'audio_features', 'id': '0zfrTt4Vc6zZ0UHZ8TCLgT', 'uri': 'spotify:track:0zfrTt4Vc6zZ0UHZ8TCLgT', 'track_href': 'https://api.spotify.com/v1/tracks/0zfrTt4Vc6zZ0UHZ8TCLgT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0zfrTt4Vc6zZ0UHZ8TCLgT', 'duration_ms': 172886, 'time_signature': 4}"
1,1953-01-23,COMES A-LONG A-LOVE,KAY STARR,1,spotify:track:0U6Mt5WoJDb2599w3cOtOV,"{'danceability': 0.442, 'energy': 0.423, 'key': 10, 'loudness': -11.171, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.801, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.882, 'tempo': 172.92, 'type': 'audio_features', 'id': '0U6Mt5WoJDb2599w3cOtOV', 'uri': 'spotify:track:0U6Mt5WoJDb2599w3cOtOV', 'track_href': 'https://api.spotify.com/v1/tracks/0U6Mt5WoJDb2599w3cOtOV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0U6Mt5WoJDb2599w3cOtOV', 'duration_ms': 133200, 'time_signature': 4}"
2,1953-01-30,OUTSIDE OF HEAVEN,EDDIE FISHER,1,spotify:track:4o32DVWLhefJzaAMOursuC,"{'danceability': 0.259, 'energy': 0.0415, 'key': 5, 'loudness': -22.815, 'mode': 1, 'speechiness': 0.038, 'acousticness': 0.954, 'instrumentalness': 0, 'liveness': 0.167, 'valence': 0.171, 'tempo': 178.258, 'type': 'audio_features', 'id': '4o32DVWLhefJzaAMOursuC', 'uri': 'spotify:track:4o32DVWLhefJzaAMOursuC', 'track_href': 'https://api.spotify.com/v1/tracks/4o32DVWLhefJzaAMOursuC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4o32DVWLhefJzaAMOursuC', 'duration_ms': 157528, 'time_signature': 3}"
3,1953-06-02,DON'T LET THE STARS GET IN YOUR EYES,PERRY COMO WITH THE RAMBLERS,5,spotify:track:75nZsUJYHALJGMn5y8kIlH,"{'danceability': 0.862, 'energy': 0.471, 'key': 8, 'loudness': -10.51, 'mode': 1, 'speechiness': 0.044, 'acousticness': 0.762, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.965, 'tempo': 122.247, 'type': 'audio_features', 'id': '75nZsUJYHALJGMn5y8kIlH', 'uri': 'spotify:track:75nZsUJYHALJGMn5y8kIlH', 'track_href': 'https://api.spotify.com/v1/tracks/75nZsUJYHALJGMn5y8kIlH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/75nZsUJYHALJGMn5y8kIlH', 'duration_ms': 160960, 'time_signature': 4}"
4,1953-03-13,SHE WEARS RED FEATHERS,GUY MITCHELL,4,spotify:track:20QadjAUkylAXp2ua8Fu8K,"{'danceability': 0.531, 'energy': 0.535, 'key': 2, 'loudness': -8.619, 'mode': 1, 'speechiness': 0.0453, 'acousticness': 0.765, 'instrumentalness': 0, 'liveness': 0.207, 'valence': 0.926, 'tempo': 199.947, 'type': 'audio_features', 'id': '20QadjAUkylAXp2ua8Fu8K', 'uri': 'spotify:track:20QadjAUkylAXp2ua8Fu8K', 'track_href': 'https://api.spotify.com/v1/tracks/20QadjAUkylAXp2ua8Fu8K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/20QadjAUkylAXp2ua8Fu8K', 'duration_ms': 186760, 'time_signature': 4}"
5,1953-10-04,BROKEN WINGS,STARGAZERS,1,,{}
6,1953-04-17,(HOW MUCH IS) THAT DOGGIE IN THE WINDOW,LITA ROZA,1,spotify:track:3P75UPl2V2eqVrTLEpzvfA,"{'danceability': 0.859, 'energy': 0.321, 'key': 7, 'loudness': -15.888, 'mode': 1, 'speechiness': 0.0421, 'acousticness': 0.945, 'instrumentalness': 0.917, 'liveness': 0.26, 'valence': 0.77, 'tempo': 127.96, 'type': 'audio_features', 'id': '3P75UPl2V2eqVrTLEpzvfA', 'uri': 'spotify:track:3P75UPl2V2eqVrTLEpzvfA', 'track_href': 'https://api.spotify.com/v1/tracks/3P75UPl2V2eqVrTLEpzvfA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3P75UPl2V2eqVrTLEpzvfA', 'duration_ms': 143002, 'time_signature': 3}"
7,1953-04-24,I BELIEVE,FRANKIE LAINE,9,spotify:track:049uxirFkHOefJ0yqPW8Kk,"{'danceability': 0.402, 'energy': 0.159, 'key': 1, 'loudness': -18.598, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.977, 'instrumentalness': 1.76e-05, 'liveness': 0.155, 'valence': 0.282, 'tempo': 67.796, 'type': 'audio_features', 'id': '049uxirFkHOefJ0yqPW8Kk', 'uri': 'spotify:track:049uxirFkHOefJ0yqPW8Kk', 'track_href': 'https://api.spotify.com/v1/tracks/049uxirFkHOefJ0yqPW8Kk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/049uxirFkHOefJ0yqPW8Kk', 'duration_ms': 130893, 'time_signature': 4}"
8,1953-06-26,I'M WALKING BEHIND YOU,EDDIE FISHER WITH SALLY SWEETLAND,1,,{}
9,1953-03-07,I BELIEVE,FRANKIE LAINE,6,spotify:track:049uxirFkHOefJ0yqPW8Kk,"{'danceability': 0.402, 'energy': 0.159, 'key': 1, 'loudness': -18.598, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.977, 'instrumentalness': 1.76e-05, 'liveness': 0.155, 'valence': 0.282, 'tempo': 67.796, 'type': 'audio_features', 'id': '049uxirFkHOefJ0yqPW8Kk', 'uri': 'spotify:track:049uxirFkHOefJ0yqPW8Kk', 'track_href': 'https://api.spotify.com/v1/tracks/049uxirFkHOefJ0yqPW8Kk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/049uxirFkHOefJ0yqPW8Kk', 'duration_ms': 130893, 'time_signature': 4}"
